bus_stop_id	service_names	service_count
1308	40, 61	2
1309	15, 40, 61	3
1310	21, 39, 41	3
1311	15, 21, 39, 41	4
1312	21, 39, 41	3
1313	15, 21, 39, 41	4
1314	40, 61	2
1315	15, 40, 61	3
1316	11, 22	2
1317	11, 22	2
1320	22	1
1321	15, 22	2
1322	22, 61	2
1323	22, 61	2
1324	22	1
1325	15, 22	2
1326	40	1
1327	40	1
1328	40	1
1329	40, 61	2
1330	15, 40, 61	3
1331	22	1
1332	22	1
1333	40	1
1334	40	1
1335	40	1
1336	40	1
1339	11, 41	2
1340	11, 41	2
1341	21, 39, 41	3
1342	15, 21, 39, 41	4
1345	21, 22, 39	3
1346	15, 21, 39	3
1347	21, 39	2
1348	21, 39	2
1349	21, 39	2
1350	21, 39	2
1351	11, 41	2
1352	11, 41	2
1353	11, 41	2
1354	11, 41	2
1355	21, 39, 40	3
1356	21, 39, 40	3
1357	40	1
1358	40	1
1359	21	1
1360	21	1
1361	21, 39	2
1362	21, 39	2
1363	21, 39, 40	3
1364	21, 39, 40	3
1365	21, 39	2
1366	21, 39	2
1367	21, 39	2
1368	21, 39	2
1369	21, 39	2
1370	21, 39	2
1371	11, 35, 37, 41	4
1372	11, 35, 37, 41	4
1373	11, 35, 37, 41	4
1374	11, 35, 37, 41	4
1375	17, 21	2
1376	17, 21	2
1377	21, 39, 40	3
1378	21, 39, 40	3
1379	21, 39, 40	3
1380	21, 39, 40	3
1381	21, 39, 40	3
1382	21, 39, 40	3
1383	21, 39, 40	3
1384	21, 39, 40	3
1385	17, 42, 44	3
1386	17, 42, 44	3
1387	17, 42, 44	3
1388	17, 42, 44	3
1389	17, 42, 44	3
1390	17, 42, 44	3
1391	17, 42, 44	3
1392	17, 42, 44	3
1393	11, 35, 37, 41	4
1394	11, 35, 37, 41	4
1395	17, 35, 42, 44	4
1396	17, 35, 42	3
1397	11, 35, 37, 41	4
1398	11, 37, 41	3
1399	11, 35, 37, 41	4
1400	11, 35, 37, 41	4
1401	11, 17, 18, 32, 35, 42	6
1402	11, 17, 18, 32, 35, 42	6
1403	11, 17, 35, 42	4
